Date,Open,High,Low,Close,Volume
10/03/2023,"172.26","173.63","170.82","172.40","49,594,609"
10/02/2023,"171.22","174.30","170.93","173.75","52,164,539"
09/29/2023,"172.02","173.07","170.34","171.21","51,861,078"
09/28/2023,"169.34","172.03","167.62","170.69","56,294,422"
09/27/2023,"172.62","173.04","169.05","170.43","66,921,805"
09/26/2023,"174.82","175.20","171.66","171.96","64,588,953"
09/25/2023,"174.20","176.97","174.15","176.08","46,172,738"
09/22/2023,"174.67","177.08","174.05","174.79","56,725,391"
09/21/2023,"174.55","176.30","173.86","173.93","63,149,121"
09/20/2023,"179.26","179.70","175.40","175.49","58,436,180"
09/19/2023,"177.52","179.63","177.13","179.07","51,826,941"
09/18/2023,"176.48","179.38","176.17","177.97","67,257,570"
09/15/2023,"176.48","176.50","173.82","175.01","109,259,508"
09/14/2023,"174.00","176.10","173.58","175.74","60,895,762"
09/13/2023,"176.51","177.30","173.98","174.21","84,267,930"
09/12/2023,"179.49","180.13","174.82","176.30","90,370,195"
09/11/2023,"180.07","180.30","177.34","179.36","58,953,047"
09/08/2023,"178.35","180.24","177.79","178.18","65,602,070"
09/07/2023,"175.18","178.21","173.54","177.56","112,488,797"
09/06/2023,"188.40","188.85","181.47","182.91","81,755,820"
09/05/2023,"188.28","189.98","187.61","189.70","45,280,031"
09/01/2023,"189.49","189.92","188.28","189.46","45,766,500"
08/31/2023,"187.84","189.12","187.48","187.87","60,794,473"
08/30/2023,"184.94","187.85","184.74","187.65","60,813,887"
08/29/2023,"179.70","184.90","179.50","184.12","53,003,953"
08/28/2023,"180.09","180.59","178.55","180.19","43,820,699"
08/25/2023,"177.38","179.15","175.82","178.61","51,449,594"
08/24/2023,"180.67","181.10","176.01","176.38","54,945,801"
08/23/2023,"178.52","181.55","178.33","181.12","52,722,754"
08/22/2023,"177.06","177.68","176.25","177.23","42,084,246"
08/21/2023,"175.07","176.13","173.74","175.84","46,311,879"
08/18/2023,"172.30","175.10","171.96","174.49","61,172,152"
08/17/2023,"177.14","177.51","173.48","174.00","66,062,883"
08/16/2023,"177.13","178.54","176.50","176.57","46,964,859"
08/15/2023,"178.88","179.48","177.05","177.45","43,622,594"
08/14/2023,"177.97","179.69","177.31","179.46","43,675,633"
08/11/2023,"177.32","178.62","176.55","177.79","52,036,672"
08/10/2023,"179.48","180.75","177.60","177.97","54,686,848"
08/09/2023,"180.87","180.93","177.01","178.19","60,378,488"
08/08/2023,"179.69","180.27","177.58","179.80","67,823,000"
08/07/2023,"182.13","183.13","177.35","178.85","97,576,070"
08/04/2023,"185.52","187.38","181.92","181.99","115,956,797"
08/03/2023,"191.57","192.37","190.69","191.17","62,243,281"
08/02/2023,"195.04","195.18","191.85","192.58","50,389,328"
08/01/2023,"196.24","196.73","195.28","195.61","35,281,434"
07/31/2023,"196.06","196.49","195.26","196.45","38,824,113"
07/28/2023,"194.67","196.63","194.14","195.83","48,291,441"
07/27/2023,"196.02","197.20","192.55","193.22","47,460,180"
07/26/2023,"193.67","195.64","193.32","194.50","47,471,871"
07/25/2023,"193.33","194.44","192.92","193.62","37,283,199"
07/24/2023,"193.41","194.91","192.25","192.75","45,505,102"
07/21/2023,"194.10","194.97","191.23","191.94","71,951,680"
07/20/2023,"195.09","196.47","192.50","193.13","59,581,199"
07/19/2023,"193.10","198.23","192.65","195.10","80,507,320"
07/18/2023,"193.35","194.33","192.42","193.73","48,353,770"
07/17/2023,"191.90","194.32","191.81","193.99","50,520,160"
07/14/2023,"190.23","191.18","189.63","190.69","41,616,238"
07/13/2023,"190.50","191.19","189.78","190.54","41,342,340"
07/12/2023,"189.68","191.70","188.47","189.77","60,750,246"
07/11/2023,"189.16","189.30","186.60","188.08","46,638,121"
07/10/2023,"189.26","189.99","187.04","188.61","59,922,160"
07/07/2023,"191.41","192.67","190.24","190.68","46,815,000"
07/06/2023,"189.84","192.02","189.20","191.81","45,156,008"
07/05/2023,"191.57","192.98","190.62","191.33","46,920,262"
07/03/2023,"193.78","193.88","191.76","192.46","31,346,600"
06/30/2023,"191.63","194.48","191.26","193.97","85,213,219"
06/29/2023,"189.08","190.07","188.94","189.59","46,347,312"
06/28/2023,"187.93","189.90","187.60","189.25","51,216,801"
06/27/2023,"185.89","188.39","185.67","188.06","50,730,848"
06/26/2023,"186.83","188.05","185.23","185.27","48,088,660"
06/23/2023,"185.55","187.56","185.01","186.68","53,117,000"
06/22/2023,"183.74","187.05","183.67","187.00","51,245,328"
06/21/2023,"184.90","185.41","182.59","183.96","49,515,699"
06/20/2023,"184.41","186.10","184.41","185.01","49,799,090"
06/16/2023,"186.73","186.99","184.27","184.92","101,256,203"
06/15/2023,"183.96","186.52","183.78","186.01","65,433,168"
06/14/2023,"183.37","184.39","182.02","183.95","57,462,879"
06/13/2023,"182.80","184.15","182.44","183.31","54,929,129"
06/12/2023,"181.27","183.89","180.97","183.79","54,755,000"
06/09/2023,"181.50","182.23","180.63","180.96","48,899,969"
06/08/2023,"177.90","180.84","177.46","180.57","50,214,879"
06/07/2023,"178.44","181.21","177.32","177.82","61,944,621"
06/06/2023,"179.97","180.12","177.43","179.21","64,848,367"
06/05/2023,"182.63","184.95","178.04","179.58","121,946,492"
06/02/2023,"181.03","181.78","179.26","180.95","61,996,910"
06/01/2023,"177.70","180.12","176.93","180.09","68,901,805"
05/31/2023,"177.33","179.35","176.76","177.25","99,625,289"
05/30/2023,"176.96","178.99","176.57","177.30","55,964,398"
05/26/2023,"173.32","175.77","173.11","175.43","54,834,980"
05/25/2023,"172.41","173.90","171.69","172.99","56,058,262"
05/24/2023,"171.09","172.42","170.52","171.84","45,143,488"
05/23/2023,"173.13","173.38","171.28","171.56","50,747,262"
05/22/2023,"173.98","174.71","173.45","174.20","43,570,930"
05/19/2023,"176.39","176.39","174.94","175.16","55,809,480"
05/18/2023,"173.00","175.24","172.58","175.05","65,496,660"
05/17/2023,"171.71","172.93","170.42","172.69","57,951,602"
05/16/2023,"171.99","173.14","171.80","172.07","42,110,289"
05/15/2023,"173.16","173.21","171.47","172.07","37,266,660"
05/12/2023,"173.62","174.06","171.00","172.57","45,533,141"
05/11/2023,"173.85","174.59","172.17","173.75","49,514,680"
05/10/2023,"173.02","174.03","171.90","173.56","53,724,500"
05/09/2023,"173.05","173.54","171.60","171.77","45,326,871"
05/08/2023,"172.48","173.85","172.11","173.50","55,962,793"
05/05/2023,"170.98","174.30","170.76","173.57","113,453,203"
05/04/2023,"164.89","167.04","164.31","165.79","81,235,430"
05/03/2023,"169.50","170.92","167.16","167.45","65,136,020"
05/02/2023,"170.09","170.35","167.54","168.54","48,425,699"
05/01/2023,"169.28","170.45","168.64","169.59","52,472,941"
04/28/2023,"168.49","169.85","167.88","169.68","55,275,848"
04/27/2023,"165.19","168.56","165.19","168.41","64,902,328"
04/26/2023,"163.06","165.28","162.80","163.76","45,498,801"
04/25/2023,"165.19","166.31","163.73","163.77","48,714,059"
04/24/2023,"165.00","165.60","163.89","165.33","41,949,578"
04/21/2023,"165.05","166.45","164.49","165.02","58,337,340"
04/20/2023,"166.09","167.87","165.56","166.65","52,456,379"
04/19/2023,"165.80","168.16","165.54","167.63","47,720,168"
04/18/2023,"166.10","167.41","165.65","166.47","49,923,008"
04/17/2023,"165.09","165.39","164.03","165.23","41,516,219"
04/14/2023,"164.59","166.32","163.82","165.21","49,386,480"
