Date,Open,High,Low,Close,Volume
10/03/2023,"171.22","174.30","170.82","172.40","101,759,148"
09/29/2023,"174.20","176.97","167.62","171.21","285,838,996"
09/22/2023,"176.48","179.70","173.86","174.79","297,395,203"
09/15/2023,"180.07","180.30","173.58","175.01","403,746,442"
09/08/2023,"188.28","189.98","173.54","178.18","305,126,718"
09/01/2023,"180.09","189.92","178.55","189.46","264,199,512"
08/25/2023,"175.07","181.55","173.74","178.61","247,514,274"
08/18/2023,"177.97","179.69","171.96","174.49","261,498,121"
08/11/2023,"182.13","183.13","176.55","177.79","332,501,078"
08/04/2023,"196.06","196.73","181.92","181.99","302,694,953"
07/28/2023,"193.41","197.20","192.25","195.83","226,011,793"
07/21/2023,"191.90","198.23","191.23","191.94","310,914,129"
07/14/2023,"189.26","191.70","186.60","190.69","250,269,105"
07/07/2023,"193.78","193.88","189.20","190.68","170,237,870"
06/30/2023,"186.83","194.48","185.23","193.97","281,596,840"
06/23/2023,"184.41","187.56","182.59","186.68","203,677,117"
06/16/2023,"181.27","186.99","180.97","184.92","333,836,379"
06/09/2023,"182.63","184.95","177.32","180.96","347,854,328"
06/02/2023,"176.96","181.78","176.57","180.95","286,488,402"
05/26/2023,"173.98","175.77","170.52","175.43","250,354,922"
05/19/2023,"173.16","176.39","170.42","175.16","258,634,691"
05/12/2023,"172.48","174.59","171.00","172.57","250,061,985"
05/05/2023,"169.28","174.30","164.31","173.57","360,723,293"
04/28/2023,"165.00","169.85","162.80","169.68","256,340,614"
04/21/2023,"165.09","168.16","164.03","165.02","249,953,114"
04/14/2023,"161.42","166.32","159.78","165.21","263,326,285"
04/06/2023,"164.27","166.84","161.80","164.66","200,156,351"
03/31/2023,"159.94","165.00","155.98","164.90","267,939,590"
03/24/2023,"155.07","162.14","154.15","160.25","350,159,918"
03/17/2023,"147.81","156.74","147.70","155.00","410,519,930"
03/10/2023,"153.79","156.30","147.61","148.50","313,350,831"
03/03/2023,"147.71","151.11","143.90","151.03","274,036,532"
02/24/2023,"150.20","151.30","145.72","146.71","213,742,397"
02/17/2023,"150.95","156.33","150.85","152.55","316,887,883"
02/10/2023,"152.58","155.23","149.22","151.01","330,758,797"
02/03/2023,"144.96","157.38","141.32","154.50","480,249,664"
01/27/2023,"138.12","147.23","137.90","145.93","338,655,719"
01/20/2023,"134.83","138.61","133.77","137.87","271,823,469"
01/13/2023,"130.47","134.92","128.12","134.76","333,335,285"
01/06/2023,"130.28","130.90","124.17","129.62","369,948,571"
12/30/2022,"131.38","131.41","125.87","129.93","307,184,141"
12/23/2022,"135.11","136.81","129.64","131.86","384,620,409"
12/16/2022,"142.70","149.97","133.73","134.51","505,728,797"
12/09/2022,"147.77","150.92","140.00","142.16","341,500,063"
12/02/2022,"145.14","149.13","140.36","147.81","401,189,081"
11/25/2022,"150.16","151.83","146.93","148.11","204,025,456"
11/18/2022,"148.97","153.59","146.15","151.29","382,679,678"
11/11/2022,"137.11","150.01","134.59","149.70","461,034,571"
11/04/2022,"153.16","155.45","134.38","138.38","510,660,469"
10/28/2022,"147.19","157.50","144.13","155.74","513,092,992"
10/21/2022,"141.07","147.85","140.27","147.27","397,216,495"
10/14/2022,"140.42","144.52","134.37","138.38","424,188,383"
10/07/2022,"138.21","147.54","137.69","140.09","435,940,460"
09/30/2022,"149.66","154.72","138.00","138.20","577,537,031"
09/23/2022,"149.31","158.74","148.56","150.43","473,543,305"
09/16/2022,"159.59","164.26","148.37","150.70","568,337,914"
09/09/2022,"156.47","157.82","152.68","157.37","314,169,274"
09/02/2022,"161.15","162.90","154.67","155.81","390,398,914"
08/26/2022,"169.69","171.05","163.56","163.62","307,194,587"
08/19/2022,"171.52","176.15","171.31","171.52","322,647,157"
08/12/2022,"166.37","172.17","163.25","172.10","318,856,922"
08/05/2022,"161.01","167.19","159.63","165.35","322,415,023"
07/29/2022,"154.01","163.63","150.80","162.51","370,548,954"
07/22/2022,"150.74","156.28","146.70","154.09","360,988,695"
07/15/2022,"145.67","150.86","142.12","150.17","366,480,097"
07/08/2022,"137.77","147.55","136.93","147.04","278,295,403"
